"rho","rhoU","rhoV","E","U","V","P","Points:0","Points:1","Points:2"
0.3523211112011375,-0.006924726897881308,0.01019652664938256,0.7258913402905979,-0.01965458974136816,0.02894100388881164,0.2902702960395069,0.421317458152771,0.3124703168869019,0
0.3421124011869677,-0.005384976337869362,0.008413628934630388,0.7180585732392301,-0.01574037164156005,0.02459317144143004,0.2871650934261574,0.40547776222229,0.3327670097351074,0
0.331702323723605,-0.002537853468380312,0.006055044548634415,0.7086591290363371,-0.007650996953807925,0.01825445321172925,0.2834376618872221,0.3886612355709076,0.352262020111084,0
0.3218652219154378,0.002065754667540328,0.002974113877977652,0.6977209278511541,0.006418073550310614,0.009240246151101804,0.2790802231985203,0.3709084093570709,0.3709084093570709,0
0.3132051529568626,0.008970659058569041,-0.0009216971065916341,0.685442257521884,0.02864147979009962,-0.002942790365644394,0.2741249739464546,0.352262020111084,0.3886612355709076,0
0.3060396123681356,0.01879317962487056,-0.005674435819522397,0.6723355441324362,0.06140767033211443,-0.01854150766828383,0.2686823660581431,0.3327670097351074,0.40547776222229,0
0.3004381406076961,0.03214763240950919,-0.01123754486955423,0.659469855527162,0.1070025008958057,-0.03740385573823635,0.2630159012962949,0.3124703168869019,0.421317458152771,0
0.2964811903596681,0.04949161460298395,-0.01731984570387622,0.6488541313611706,0.1669300320298382,-0.05841802538253815,0.2576869669451012,0.2914208471775055,0.4361421465873718,0
0.2945545155361212,0.07071119685643061,-0.02327995842932571,0.6434832721728942,0.2400614932951497,-0.07903446459462235,0.2536303179570999,0.2696693539619446,0.4499161243438721,0
0.2953066203919454,0.09460263280099082,-0.02843509271903948,0.646272482634769,0.3203539178208384,-0.0962900617713854,0.2519001248762366,0.2472681850194931,0.4626062512397766,0
0.2994008678499088,0.1191202179538928,-0.03238948765023267,0.6589357781542556,0.3978619661637332,-0.1081810079003167,0.2533948449528292,0.2242713272571564,0.4741818904876709,0
0.3074993594293601,0.1425011234903046,-0.03481055266129063,0.6824125897312313,0.463419253148202,-0.1132052851293417,0.2589693353404549,0.2007341831922531,0.4846151769161224,0
0.3203026989639977,0.163976074775473,-0.03521927886509975,0.7177164128590843,0.5119409711683514,-0.1099562350832967,0.2695228350885767,0.1767134517431259,0.4938809871673584,0
